Ports report on ip 192.168.43.194:
Port not in use: 1
Port not in use: 2
Port not in use: 3
Port not in use: 4
Port not in use: 5
Port not in use: 6
Port not in use: 7
Port not in use: 8
Port not in use: 9
Port not in use: 10
Port not in use: 11
Port not in use: 12
Port not in use: 13
Port not in use: 14
Port not in use: 15
Port not in use: 16
Port not in use: 17
Port not in use: 18
Port not in use: 19
Port not in use: 20
Port in use: 21
Port not in use: 22
Port not in use: 23
Port not in use: 24
Port in use: 25
Port not in use: 26
Port not in use: 27
Port not in use: 28
Port not in use: 29
Port not in use: 30
Port not in use: 31
Port not in use: 32
Port not in use: 33
Port not in use: 34
Port not in use: 35
Port not in use: 36
Port not in use: 37
Port not in use: 38
Port not in use: 39
Port not in use: 40
Port not in use: 41
Port not in use: 42
Port not in use: 43
Port not in use: 44
Port not in use: 45
Port not in use: 46
Port not in use: 47
Port not in use: 48
Port not in use: 49
Port not in use: 50
